ARK	TYPE	VALUE	SOURCE
21198/zz002jj86v	typeOfResource	text	MODS
21198/zz000j440p	typeOfResource	text	MODS
21198/zz000rt4s1	typeOfResource	text	MODS
21198/zz000rwrvn	typeOfResource	text	MODS
21198/zz0009fp0j	typeOfResource	text	MODS
21198/zz0009gjcr	typeOfResource	text	MODS
21198/zz0009gjtg	typeOfResource	text	MODS
21198/zz000j6wn1	typeOfResource	text	MODS
21198/zz000j3xq6	typeOfResource	text	MODS
21198/zz000j43zp	typeOfResource	text	MODS
21198/zz000rtgfp	typeOfResource	text	MODS
21198/zz000955sm	typeOfResource	text	MODS
21198/zz000j3xs7	typeOfResource	text	MODS
21198/zz000j43pj	typeOfResource	text	MODS
21198/zz000rtgg6	typeOfResource	text	MODS
21198/zz0009dbmk	typeOfResource	text	MODS
21198/zz0009808s	typeOfResource	text	MODS
21198/zz000j43s3	typeOfResource	text	MODS
21198/zz00097xwp	typeOfResource	text	MODS
21198/zz00097xzq	typeOfResource	text	MODS
21198/zz00099qgg	typeOfResource	text	MODS
21198/zz0009gjsz	typeOfResource	text	MODS
21198/zz0009dgwn	typeOfResource	text	MODS
21198/zz0009jc4m	typeOfResource	text	MODS
21198/zz0009dgv4	typeOfResource	text	MODS
21198/zz00099rr3	typeOfResource	text	MODS
21198/zz0009hts8	typeOfResource	text	MODS
21198/zz0009d1zd	typeOfResource	text	MODS
21198/zz0009g1m4	typeOfResource	text	MODS
21198/zz0009f51t	typeOfResource	text	MODS
21198/zz0009dbjj	typeOfResource	text	MODS
21198/zz0009dccf	typeOfResource	text	MODS
21198/zz0009dbpm	typeOfResource	text	MODS
21198/zz0009ddfz	typeOfResource	text	MODS
21198/zz000962z6	typeOfResource	text	MODS
21198/zz00097qjm	typeOfResource	text	MODS
21198/zz00097r1b	typeOfResource	text	MODS
21198/zz00098vp2	typeOfResource	text	MODS
21198/zz000958mg	typeOfResource	text	MODS
21198/zz0009chzq	typeOfResource	text	MODS
21198/zz0009cjkh	typeOfResource	text	MODS
21198/zz00098tzq	typeOfResource	text	MODS
21198/zz00097r3c	typeOfResource	text	MODS
21198/zz0008z87p	typeOfResource	text	MODS
21198/zz0008z89q	typeOfResource	text	MODS
21198/zz0008zf2h	typeOfResource	text	MODS
21198/zz0008zkbk	typeOfResource	text	MODS
21198/zz0008zkzw	typeOfResource	text	MODS
21198/zz0008zfrv	typeOfResource	text	MODS
21198/zz0008zftw	typeOfResource	text	MODS
21198/zz000904xz	typeOfResource	text	MODS
21198/zz0008zbpc	typeOfResource	text	MODS
21198/zz000905jr	typeOfResource	text	MODS
21198/zz000905vd	typeOfResource	text	MODS
21198/zz00175sb4	typeOfResource	text	MODS
21198/zz0017jrtt	typeOfResource	text	MODS
21198/zz00177mtv	typeOfResource	text	MODS
21198/zz002c4hkg	typeOfResource	text	MODS
21198/zz002kd7fm	typeOfResource	text	MODS
21198/zz002bz9wk	typeOfResource	text	MODS
